id	text	label	dimension
S05_E16_329	apparently, teens are drinking the slushie stuff inside of these for the alcohol.	 inform	intent
S06_E06_589	we are the manager.	 introduce	intent
S06_E02_25	that is not true, marcus.	 oppose	intent
S05_E16_219	eh, if i did, i'd have to change it on my debit card too.	 leave	intent
S05_E19_506	yeah, he has, like, no respect for the permit.	 complain	intent
S05_E10_325	how are things going over there?	 care	intent
S05_E08_428	what is this you're sprinkling?	 care	intent
S05_E12_358	it's the business that we were gonna start.	 introduce	intent
S06_E07_601	you were a great roommate.	 praise	intent
S04_E17_434	i actually just bought some stock in a drone company.	 inform	intent
S05_E11_27	heather, you're in housewares.	 arrange	intent
S05_E14_54	oh, okay. no worries.	 comfort	intent
S05_E06_206	hey!	 greet	intent
S04_E10_375	there's, like, eight of us, that's more of a walk.	 complain	intent
S04_E08_105	hey, denise, these are friends of mine	 introduce	intent
S05_E08_418	yes, of course!	 agree	intent
S05_E08_149	hi, i'm amy sosa, store manager.	 introduce	intent
S04_E03_388	how am i supposed to work checkout?	 complain	intent
S06_E04_542	okay, all right, new rule: no one can be mad about whatever was said in this room, okay?	 inform	intent
S05_E12_32	hey, guys, myrtle's nephew just came in	 inform	intent
S04_E09_486	again, i'm sorry about the typo.	 apologise	intent
S05_E08_537	yeah.	 agree	intent
S05_E21_201	oh, we could get, like, a red bull fountain.	 advise	intent
S04_E16_494	sandra, code cottontail.	 inform	intent
S04_E13_472	you were the one who said he should be telling her.	 criticize	intent
S05_E08_337	mateo, give him the gift card.	 arrange	intent
S04_E03_84	this one smells like peanut butter.	 introduce	intent
S05_E16_27	also there's a product locator, an inventory map	 inform	intent
S05_E15_258	kira moon from zephra will be  surprising  us	 inform	intent
S06_E05_74	yeah, you know, this is actually exactly	 agree	intent
S05_E06_229	thank you.	 thank	intent
S05_E17_95	oh, hey, glenn.	 greet	intent
S05_E08_489	glenn, take this down. sandra, keep going.	 arrange	intent
S05_E11_487	jonah, i wasted my afternoon in that meeting just to go along with your new cause	 complain	intent
